id,name,country,position,second_position,club,age,born,matches_played,matches_started,minutes_played,goals,assists,goals_and_assists,yellow_cards,red_cards
801,Darren Yapi,USA,Forward,,Colorado Rapids,19,2004,31,5,750,2,1,3,5,1
802,William Yarbrough,USA,Keeper,,SJ Earthquakes,34,1989,19,19,"1,710",0,0,0,1,0
803,Joshua Yaro,GHA,Defender,,St. Louis,29,1994,13,7,772,1,0,1,1,0
804,Patrick Yazbek,AUS,Midfielder,,Nashville SC,21,2002,7,4,375,0,0,0,2,0
805,Dru Yearwood,ENG,Midfielder,,Nashville SC,23,2000,25,20,"1,515",1,1,2,5,0
806,Kelvin Yeboah,ITA,Forward,,Minnesota Utd,23,2000,9,8,709,7,1,8,3,0
807,Yaw Yeboah,GHA,Defender,Midfielder,Columbus Crew,26,1997,24,10,"1,051",1,5,6,3,0
808,DeAndre Yedlin,USA,Defender,,Inter Miami,30,1993,3,3,270,0,0,0,0,0
809,DeAndre Yedlin,USA,Defender,,FC Cincinnati,30,1993,28,25,"2,193",0,3,3,9,0
810,Maya Yoshida,JPN,Defender,,LA Galaxy,35,1988,34,34,"3,035",2,0,2,2,0
811,Jackson Yueill,USA,Midfielder,,SJ Earthquakes,26,1997,32,28,"2,452",1,1,2,4,1
812,Alhassan Yusuf,NGA,Midfielder,,NE Revolution,23,2000,7,5,446,0,1,1,0,0
813,Gyasi Zardes,USA,Forward,,Austin,32,1991,33,10,"1,186",3,2,5,2,0
814,Eriq Zavaleta,SLV,Defender,,LA Galaxy,31,1992,5,1,161,1,0,1,0,1
815,Sean Zawadzki,USA,Midfielder,Defender,Columbus Crew,23,2000,27,20,"1,875",1,1,2,3,0
816,Walker Zimmerman,USA,Defender,,Nashville SC,30,1993,25,22,"1,927",1,1,2,2,0
817,Rida Zouhir,CAN,Midfielder,Defender,CF Montréal,20,2003,7,1,178,0,0,0,2,0
818,Dario Župarić,BIH,Defender,,Portland Timbers,31,1992,28,24,"2,222",0,0,0,6,0
819,Nökkvi Þórisson,ISL,Forward,Midfielder,St. Louis,24,1999,30,10,"1,190",4,0,4,3,0
